patient,feature_set,seed,arm,recipient,target_donor,control_donor,target_pixel_rms,control_pixel_rms,relative_amplitude_mismatch,other_tissue_drift,control_tissue_drift,numerical_checks_pass,observed_fraction_change,predicted_fraction_change,change_absolute_error
TCGA-A2-A04P,rgb,11,control,2,23,31,0.209026038646698,0.20986591279506683,0.0040180360007128855,0.001708984375,0.01348876953125,True,-0.00028101602219976485,-0.001262277364730835,0.0009812613425310701
TCGA-A2-A04P,rgb,23,target,0,17,30,0.2360941469669342,0.2371785044670105,0.004592902933032736,0.0,0.01678466796875,True,-0.0202763881534338,-0.01751747727394104,0.0027589108794927597
TCGA-A2-A04P,rgb,23,control,0,17,30,0.2360941469669342,0.2371785044670105,0.004592902933032736,0.0,0.01678466796875,True,-0.00034968057298101485,0.0002923011779785156,0.0006419817509595305
TCGA-A2-A04P,rgb,23,target,1,23,2,0.22001540660858154,0.22177018225193024,0.007975694386123276,0.001708984375,0.0224609375,True,-0.017078399658203125,-0.01435193419456482,0.0027264654636383057
TCGA-A2-A04P,rgb,23,control,1,23,2,0.22001540660858154,0.22177018225193024,0.007975694386123276,0.001708984375,0.0224609375,True,0.00046793618821538985,0.0038081109523773193,0.0033401747641619295
TCGA-A2-A04P,rgb,23,target,2,23,31,0.209026038646698,0.20986591279506683,0.0040180360007128855,0.001708984375,0.01348876953125,True,-0.017546335235238075,-0.01967906951904297,0.0021327342838048935
TCGA-A2-A04P,rgb,23,control,2,23,31,0.209026038646698,0.20986591279506683,0.0040180360007128855,0.001708984375,0.01348876953125,True,-0.00028101602219976485,-0.005008101463317871,0.004727085441118106
TCGA-A2-A04P,rgb,37,target,0,17,30,0.2360941469669342,0.2371785044670105,0.004592902933032736,0.0,0.01678466796875,True,-0.0202763881534338,-0.01244443655014038,0.007831951603293419
TCGA-A2-A04P,rgb,37,control,0,17,30,0.2360941469669342,0.2371785044670105,0.004592902933032736,0.0,0.01678466796875,True,-0.00034968057298101485,-0.0028030872344970703,0.0024534066615160555
TCGA-A2-A04P,rgb,37,target,1,23,2,0.22001540660858154,0.22177018225193024,0.007975694386123276,0.001708984375,0.0224609375,True,-0.017078399658203125,-0.011553764343261719,0.005524635314941406
TCGA-A2-A04P,rgb,37,control,1,23,2,0.22001540660858154,0.22177018225193024,0.007975694386123276,0.001708984375,0.0224609375,True,0.00046793618821538985,0.0011014938354492188,0.0006335576472338289
TCGA-A2-A04P,rgb,37,target,2,23,31,0.209026038646698,0.20986591279506683,0.0040180360007128855,0.001708984375,0.01348876953125,True,-0.017546335235238075,-0.013705462217330933,0.0038408730179071426
TCGA-A2-A04P,rgb,37,control,2,23,31,0.209026038646698,0.20986591279506683,0.0040180360007128855,0.001708984375,0.01348876953125,True,-0.00028101602219976485,-0.002269148826599121,0.0019881328043993562
TCGA-A2-A04P,rgb_texture,11,target,0,17,30,0.2360941469669342,0.2371785044670105,0.004592902933032736,0.0,0.01678466796875,True,-0.0202763881534338,-0.026890337467193604,0.006613949313759804
TCGA-A2-A04P,rgb_texture,11,control,0,17,30,0.2360941469669342,0.2371785044670105,0.004592902933032736,0.0,0.01678466796875,True,-0.00034968057298101485,-0.005949676036834717,0.005599995463853702
TCGA-A2-A04P,rgb_texture,11,target,1,23,2,0.22001540660858154,0.22177018225193024,0.007975694386123276,0.001708984375,0.0224609375,True,-0.017078399658203125,-0.022935330867767334,0.005856931209564209
TCGA-A2-A04P,rgb_texture,11,control,1,23,2,0.22001540660858154,0.22177018225193024,0.007975694386123276,0.001708984375,0.0224609375,True,0.00046793618821538985,-0.003210902214050293,0.003678838402265683
TCGA-A2-A04P,rgb_texture,11,target,2,23,31,0.209026038646698,0.20986591279506683,0.0040180360007128855,0.001708984375,0.01348876953125,True,-0.017546335235238075,-0.019115298986434937,0.0015689637511968613
TCGA-A2-A04P,rgb_texture,11,control,2,23,31,0.209026038646698,0.20986591279506683,0.0040180360007128855,0.001708984375,0.01348876953125,True,-0.00028101602219976485,-0.0004159212112426758,0.00013490518904291093
TCGA-A2-A04P,rgb_texture,23,target,0,17,30,0.2360941469669342,0.2371785044670105,0.004592902933032736,0.0,0.01678466796875,True,-0.0202763881534338,-0.0067130327224731445,0.013563355430960655
TCGA-A2-A04P,rgb_texture,23,control,0,17,30,0.2360941469669342,0.2371785044670105,0.004592902933032736,0.0,0.01678466796875,True,-0.00034968057298101485,0.002276778221130371,0.002626458794111386
TCGA-A2-A04P,rgb_texture,23,target,1,23,2,0.22001540660858154,0.22177018225193024,0.007975694386123276,0.001708984375,0.0224609375,True,-0.017078399658203125,-0.008874580264091492,0.008203819394111633
TCGA-A2-A04P,rgb_texture,23,control,1,23,2,0.22001540660858154,0.22177018225193024,0.007975694386123276,0.001708984375,0.0224609375,True,0.00046793618821538985,0.0038389265537261963,0.0033709903655108064
TCGA-A2-A04P,rgb_texture,23,target,2,23,31,0.209026038646698,0.20986591279506683,0.0040180360007128855,0.001708984375,0.01348876953125,True,-0.017546335235238075,-0.013620331883430481,0.003926003351807594
TCGA-A2-A04P,rgb_texture,23,control,2,23,31,0.209026038646698,0.20986591279506683,0.0040180360007128855,0.001708984375,0.01348876953125,True,-0.00028101602219976485,-0.0036246776580810547,0.00334366163588129
TCGA-A2-A04P,rgb_texture,37,target,0,17,30,0.2360941469669342,0.2371785044670105,0.004592902933032736,0.0,0.01678466796875,True,-0.0202763881534338,-0.0092238187789917,0.0110525693744421
TCGA-A2-A04P,rgb_texture,37,control,0,17,30,0.2360941469669342,0.2371785044670105,0.004592902933032736,0.0,0.01678466796875,True,-0.00034968057298101485,-0.0055332183837890625,0.005183537810808048
TCGA-A2-A04P,rgb_texture,37,target,1,23,2,0.22001540660858154,0.22177018225193024,0.007975694386123276,0.001708984375,0.0224609375,True,-0.017078399658203125,-0.012242525815963745,0.00483587384223938
TCGA-A2-A04P,rgb_texture,37,control,1,23,2,0.22001540660858154,0.22177018225193024,0.007975694386123276,0.001708984375,0.0224609375,True,0.00046793618821538985,-0.0016894340515136719,0.0021573702397290617
TCGA-A2-A04P,rgb_texture,37,target,2,23,31,0.209026038646698,0.20986591279506683,0.0040180360007128855,0.001708984375,0.01348876953125,True,-0.017546335235238075,-0.012453436851501465,0.00509289838373661
TCGA-A2-A04P,rgb_texture,37,control,2,23,31,0.209026038646698,0.20986591279506683,0.0040180360007128855,0.001708984375,0.01348876953125,True,-0.00028101602219976485,0.0005812942981719971,0.0008623103203717619
TCGA-A2-A04T,rgb,11,target,2,11,78,0.2323676198720932,0.23224274814128876,0.0005373886898406027,0.0,0.041773692037312425,True,-0.010529959574341774,-0.001262366771697998,0.009267592802643776
TCGA-A2-A04T,rgb,11,control,2,11,78,0.2323676198720932,0.23224274814128876,0.0005373886898406027,0.0,0.041773692037312425,True,0.00045905139995738864,0.0010898709297180176,0.0006308195297606289
TCGA-A2-A04T,rgb,11,target,3,11,79,0.22164621949195862,0.2218085378408432,0.000732330780360869,0.0,0.02630615234375,True,-0.010699932463467121,-0.0007545351982116699,0.009945397265255451
