architecture,patient,factor,repeat,probability_IC_change
GCN,124,0.95,17,0.0056084394454956055
GCN,124,0.95,18,0.007924318313598633
GCN,124,0.95,19,-0.0002726912498474121
GCN,124,1.05,0,-0.0007489323616027832
GCN,124,1.05,1,0.003972470760345459
GCN,124,1.05,2,0.00013405084609985352
GCN,124,1.05,3,-0.008867263793945312
GCN,124,1.05,4,-0.018359482288360596
GCN,124,1.05,5,-0.010545670986175537
GCN,124,1.05,6,0.0003107786178588867
GCN,124,1.05,7,0.011130034923553467
GCN,124,1.05,8,0.009084045886993408
GCN,124,1.05,9,0.008501946926116943
GCN,124,1.05,10,0.003818690776824951
GCN,124,1.05,11,-0.01344221830368042
GCN,124,1.05,12,0.014097273349761963
GCN,124,1.05,13,-0.014473140239715576
GCN,124,1.05,14,0.006523072719573975
GCN,124,1.05,15,-0.01516348123550415
GCN,124,1.05,16,-0.011914968490600586
GCN,124,1.05,17,-0.022721052169799805
GCN,124,1.05,18,-0.00017547607421875
GCN,124,1.05,19,0.010906636714935303
GCN,132,0.95,0,-0.00429147481918335
GCN,132,0.95,1,0.00015091896057128906
GCN,132,0.95,2,0.00870087742805481
GCN,132,0.95,3,-0.008958995342254639
GCN,132,0.95,4,-0.008100450038909912
GCN,132,0.95,5,0.012909561395645142
GCN,132,0.95,6,0.0052894651889801025
GCN,132,0.95,7,0.0009402036666870117
GCN,132,0.95,8,-0.009500086307525635
GCN,132,0.95,9,0.002582371234893799
GCN,132,0.95,10,0.00028133392333984375
GCN,132,0.95,11,-0.01006239652633667
GCN,132,0.95,12,-0.0036388635635375977
GCN,132,0.95,13,-0.0026555657386779785
GCN,132,0.95,14,-0.004841029644012451
GCN,132,0.95,15,0.0016700327396392822
GCN,132,0.95,16,0.004741847515106201
GCN,132,0.95,17,-0.004198402166366577
GCN,132,0.95,18,0.0015974044799804688
GCN,132,0.95,19,-0.004419416189193726
GCN,132,1.05,0,-0.0019294023513793945
GCN,132,1.05,1,0.0052298903465271
GCN,132,1.05,2,-0.011243879795074463
GCN,132,1.05,3,0.00859600305557251
GCN,132,1.05,4,-0.0074217915534973145
GCN,132,1.05,5,0.0045958757400512695
GCN,132,1.05,6,0.0035310983657836914
GCN,132,1.05,7,-0.00366365909576416
GCN,132,1.05,8,-0.0005193650722503662
GCN,132,1.05,9,-0.005574852228164673
GCN,132,1.05,10,0.0029610395431518555
GCN,132,1.05,11,0.010540425777435303
GCN,132,1.05,12,-0.015194922685623169
GCN,132,1.05,13,0.007936626672744751
GCN,132,1.05,14,-0.011091053485870361
GCN,132,1.05,15,-0.0024081170558929443
GCN,132,1.05,16,0.004625439643859863
GCN,132,1.05,17,-0.0031194090843200684
GCN,132,1.05,18,0.001093834638595581
GCN,132,1.05,19,-0.0009585320949554443
GCN,144,0.95,0,0.004624128341674805
GCN,144,0.95,1,-0.004407107830047607
GCN,144,0.95,2,2.4139881134033203e-05
GCN,144,0.95,3,0.0006223320960998535
GCN,144,0.95,4,-0.0021790266036987305
GCN,144,0.95,5,0.0022623538970947266
GCN,144,0.95,6,-0.0014702081680297852
GCN,144,0.95,7,0.002315819263458252
GCN,144,0.95,8,0.005978882312774658
GCN,144,0.95,9,0.0022183656692504883
GCN,144,0.95,10,0.003238201141357422
GCN,144,0.95,11,-0.0003731250762939453
GCN,144,0.95,12,-0.007186174392700195
GCN,144,0.95,13,0.0006504654884338379
GCN,144,0.95,14,-0.005449771881103516
GCN,144,0.95,15,-0.007063508033752441
GCN,144,0.95,16,0.0014759302139282227
GCN,144,0.95,17,-0.0011786222457885742
GCN,144,0.95,18,-0.0013442039489746094
GCN,144,0.95,19,0.0007722973823547363
GCN,144,1.05,0,-0.0035008788108825684
GCN,144,1.05,1,-0.0027960538864135742
GCN,144,1.05,2,-0.005378425121307373
GCN,144,1.05,3,0.00341033935546875
GCN,144,1.05,4,0.002010345458984375
GCN,144,1.05,5,0.004948616027832031
GCN,144,1.05,6,0.0014412999153137207
GCN,144,1.05,7,0.004774570465087891
GCN,144,1.05,8,0.0007749795913696289
GCN,144,1.05,9,-0.002204298973083496
GCN,144,1.05,10,-0.004345297813415527
GCN,144,1.05,11,-0.004746675491333008
GCN,144,1.05,12,-0.0037590861320495605
GCN,144,1.05,13,0.003290712833404541
GCN,144,1.05,14,0.0022755861282348633
GCN,144,1.05,15,0.004559338092803955
GCN,144,1.05,16,0.0017230510711669922
GCN,144,1.05,17,-0.002323150634765625
GCN,144,1.05,18,0.005238652229309082
GCN,144,1.05,19,-0.0023883581161499023
GCN,151,0.95,0,0.009196102619171143
GCN,151,0.95,1,-0.008452355861663818
GCN,151,0.95,2,-0.0079994797706604
GCN,151,0.95,3,-0.009386181831359863
GCN,151,0.95,4,-0.00015562772750854492
GCN,151,0.95,5,0.008530676364898682
GCN,151,0.95,6,-0.01689249277114868
GCN,151,0.95,7,-0.0019859671592712402
GCN,151,0.95,8,-0.015271961688995361
GCN,151,0.95,9,0.017185628414154053
GCN,151,0.95,10,0.008923828601837158
GCN,151,0.95,11,0.009472250938415527
GCN,151,0.95,12,0.01907867193222046
GCN,151,0.95,13,-0.02033686637878418
GCN,151,0.95,14,0.007285892963409424
GCN,151,0.95,15,0.010738551616668701
GCN,151,0.95,16,0.005783200263977051
GCN,151,0.95,17,0.0007001757621765137
