architecture,patient,area_factor,method,repeat,probability_IC_change,area_probe_shift_sd,eccentricity_probe_shift_sd,solidity_probe_shift_sd,feature_support_fraction,clinical_validity
GCN,124,0.95,random,4,0.0003619194030761719,-0.005770295858383179,-6.341934204101562e-05,-0.01742604374885559,1.0,False
GCN,124,0.95,random,5,0.0011210441589355469,0.00257110595703125,0.010252177715301514,-0.010956734418869019,1.0,False
GCN,124,0.95,random,6,0.0001799464225769043,-0.005015581846237183,0.019013017416000366,-0.014108985662460327,1.0,False
GCN,124,0.95,random,7,-7.730722427368164e-05,-0.010191693902015686,-0.011034846305847168,-0.0017101764678955078,1.0,False
GCN,124,0.95,random,8,-0.001058042049407959,0.001895308494567871,-0.008021563291549683,0.01935511827468872,1.0,False
GCN,124,0.95,random,9,0.00020712614059448242,0.0036687999963760376,-0.005620688199996948,-0.004154175519943237,1.0,False
GCN,124,0.95,random,10,0.0010562539100646973,-0.001211315393447876,0.008281499147415161,-0.018708467483520508,1.0,False
GCN,124,0.95,random,11,-0.0002078413963317871,-0.005337268114089966,0.020252317190170288,-0.006757587194442749,1.0,False
GCN,124,0.95,random,12,-0.0023595690727233887,-0.015318796038627625,-0.005205243825912476,0.005414485931396484,1.0,False
GCN,124,0.95,random,13,0.0012063980102539062,0.004982411861419678,-0.005158573389053345,-0.013832002878189087,1.0,False
GCN,124,0.95,random,14,0.001346886157989502,-7.76052474975586e-05,0.001093059778213501,-0.012149572372436523,1.0,False
GCN,124,0.95,random,15,-0.001798093318939209,-0.0026935935020446777,-0.00476488471031189,0.010009825229644775,1.0,False
GCN,124,0.95,random,16,-0.0011672377586364746,-0.006219103932380676,0.010140180587768555,0.008643239736557007,1.0,False
