stage,analysis,record_type,dataset,model,seed,concept,layer,probe_metric,probe_value,tcav_value,target_effect,control_effect,gcia_excess,ci_low,ci_high,intervention_valid,interpretation,budget,concept_shift,control_budget,control_ci_high,control_ci_low,control_concept_shift,encoded,invalid_reason,metric,n_graphs,n_groups,patient_id,permutation_p,sample_id,target_ci_high,target_ci_low,valid_fraction,value
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3904317021369934,0.2138177454471588,0.1766139566898346,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_7,,test_7_010,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3904317021369934,0.13603819906711578,0.2543935179710388,,,True,,6.928203105926514,2.0,6.928203105926514,,,1.9868215517249155e-08,,,,,,test_7,,test_7_011,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3849656581878662,0.6184948682785034,-0.2335292100906372,,,True,,6.928203105926514,2.0,6.928203105926514,,,1.9868215517249155e-08,,,,,,test_7,,test_7_100,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3849656581878662,0.6306983232498169,-0.24573266506195068,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_7,,test_7_101,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3904317319393158,0.45575085282325745,-0.06531912088394165,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_7,,test_7_110,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3904317319393158,0.5156581401824951,-0.12522640824317932,,,True,,6.928203105926514,2.0,6.928203105926514,,,1.9868215517249155e-08,,,,,,test_7,,test_7_111,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.4477429687976837,0.2480197548866272,0.19972321391105652,,,True,,6.928203105926514,2.0,6.928203105926514,,,1.9868215517249155e-08,,,,,,test_8,,test_8_000,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.4477429687976837,0.2514909505844116,0.1962520182132721,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_8,,test_8_001,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.4253466725349426,0.15817226469516754,0.2671744227409363,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_8,,test_8_010,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.4253466725349426,0.13384050130844116,0.29150617122650146,,,True,,6.928203105926514,2.0,6.928203105926514,,,1.9868215517249155e-08,,,,,,test_8,,test_8_011,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.4477429687976837,0.6396388411521912,-0.19189587235450745,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_8,,test_8_100,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.4477429687976837,0.655263364315033,-0.20752039551734924,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_8,,test_8_101,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.42534664273262024,0.586480438709259,-0.1611337959766388,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_8,,test_8_110,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.42534664273262024,0.4584640860557556,-0.033117443323135376,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_8,,test_8_111,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.19134469330310822,0.057924702763557434,0.13341999053955078,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_9,,test_9_000,,,,
