patient,split,seed,fraction,count,method,control,signed_change,absolute_change
TCGA-A1-A0SK,development,37,0.05,4,random,6,0.006383121013641357,0.006383121013641357
TCGA-A1-A0SK,development,37,0.05,4,random,7,0.00940924882888794,0.00940924882888794
TCGA-A1-A0SK,development,37,0.05,4,random,8,0.00886237621307373,0.00886237621307373
TCGA-A1-A0SK,development,37,0.05,4,random,9,-0.0021292567253112793,0.0021292567253112793
TCGA-A1-A0SK,development,37,0.05,4,random,10,0.002299964427947998,0.002299964427947998
TCGA-A1-A0SK,development,37,0.05,4,random,11,0.0015618205070495605,0.0015618205070495605
TCGA-A1-A0SK,development,37,0.05,4,random,12,0.01963597536087036,0.01963597536087036
TCGA-A1-A0SK,development,37,0.05,4,random,13,-0.011094868183135986,0.011094868183135986
TCGA-A1-A0SK,development,37,0.05,4,random,14,0.04470556974411011,0.04470556974411011
TCGA-A1-A0SK,development,37,0.05,4,random,15,0.012781143188476562,0.012781143188476562
TCGA-A1-A0SK,development,37,0.05,4,random,16,-0.011270344257354736,0.011270344257354736
TCGA-A1-A0SK,development,37,0.05,4,random,17,0.037341177463531494,0.037341177463531494
TCGA-A1-A0SK,development,37,0.05,4,random,18,-0.02015209197998047,0.02015209197998047
TCGA-A1-A0SK,development,37,0.05,4,random,19,0.015309929847717285,0.015309929847717285
TCGA-A1-A0SK,development,37,0.1,7,gnnexplainer,-1,-0.02937978506088257,0.02937978506088257
TCGA-A1-A0SK,development,37,0.1,7,random,0,0.002198636531829834,0.002198636531829834
TCGA-A1-A0SK,development,37,0.1,7,random,1,0.03747493028640747,0.03747493028640747
TCGA-A1-A0SK,development,37,0.1,7,random,2,0.020284533500671387,0.020284533500671387
TCGA-A1-A0SK,development,37,0.1,7,random,3,-0.012858748435974121,0.012858748435974121
TCGA-A1-A0SK,development,37,0.1,7,random,4,-0.00017261505126953125,0.00017261505126953125
TCGA-A1-A0SK,development,37,0.1,7,random,5,0.025222718715667725,0.025222718715667725
TCGA-A1-A0SK,development,37,0.1,7,random,6,0.008828938007354736,0.008828938007354736
TCGA-A1-A0SK,development,37,0.1,7,random,7,0.001011490821838379,0.001011490821838379
TCGA-A1-A0SK,development,37,0.1,7,random,8,-0.015379607677459717,0.015379607677459717
TCGA-A1-A0SK,development,37,0.1,7,random,9,-0.022830188274383545,0.022830188274383545
TCGA-A1-A0SK,development,37,0.1,7,random,10,0.007850944995880127,0.007850944995880127
TCGA-A1-A0SK,development,37,0.1,7,random,11,-0.022542834281921387,0.022542834281921387
TCGA-A1-A0SK,development,37,0.1,7,random,12,-0.02071547508239746,0.02071547508239746
TCGA-A1-A0SK,development,37,0.1,7,random,13,0.02579188346862793,0.02579188346862793
TCGA-A1-A0SK,development,37,0.1,7,random,14,-0.022854387760162354,0.022854387760162354
TCGA-A1-A0SK,development,37,0.1,7,random,15,0.040527403354644775,0.040527403354644775
TCGA-A1-A0SK,development,37,0.1,7,random,16,-0.0037240982055664062,0.0037240982055664062
TCGA-A1-A0SK,development,37,0.1,7,random,17,0.01557302474975586,0.01557302474975586
TCGA-A1-A0SK,development,37,0.1,7,random,18,-0.010645151138305664,0.010645151138305664
TCGA-A1-A0SK,development,37,0.1,7,random,19,0.009915173053741455,0.009915173053741455
TCGA-A1-A0SK,development,37,0.2,14,gnnexplainer,-1,-0.04452049732208252,0.04452049732208252
TCGA-A1-A0SK,development,37,0.2,14,random,0,-0.04773074388504028,0.04773074388504028
TCGA-A1-A0SK,development,37,0.2,14,random,1,-0.020437121391296387,0.020437121391296387
TCGA-A1-A0SK,development,37,0.2,14,random,2,0.012754678726196289,0.012754678726196289
TCGA-A1-A0SK,development,37,0.2,14,random,3,0.014219403266906738,0.014219403266906738
TCGA-A1-A0SK,development,37,0.2,14,random,4,0.031297504901885986,0.031297504901885986
TCGA-A1-A0SK,development,37,0.2,14,random,5,0.009308099746704102,0.009308099746704102
TCGA-A1-A0SK,development,37,0.2,14,random,6,-0.02302151918411255,0.02302151918411255
TCGA-A1-A0SK,development,37,0.2,14,random,7,0.019344449043273926,0.019344449043273926
TCGA-A1-A0SK,development,37,0.2,14,random,8,0.027090489864349365,0.027090489864349365
TCGA-A1-A0SK,development,37,0.2,14,random,9,0.0023602843284606934,0.0023602843284606934
TCGA-A1-A0SK,development,37,0.2,14,random,10,-0.044486939907073975,0.044486939907073975
TCGA-A1-A0SK,development,37,0.2,14,random,11,-0.022176265716552734,0.022176265716552734
TCGA-A1-A0SK,development,37,0.2,14,random,12,-0.019556522369384766,0.019556522369384766
TCGA-A1-A0SK,development,37,0.2,14,random,13,-0.024190247058868408,0.024190247058868408
TCGA-A1-A0SK,development,37,0.2,14,random,14,0.02959573268890381,0.02959573268890381
TCGA-A1-A0SK,development,37,0.2,14,random,15,0.02675837278366089,0.02675837278366089
TCGA-A1-A0SK,development,37,0.2,14,random,16,0.026148438453674316,0.026148438453674316
TCGA-A1-A0SK,development,37,0.2,14,random,17,0.015074491500854492,0.015074491500854492
TCGA-A1-A0SK,development,37,0.2,14,random,18,0.011479616165161133,0.011479616165161133
TCGA-A1-A0SK,development,37,0.2,14,random,19,-0.03677225112915039,0.03677225112915039
TCGA-A1-A0SP,development,11,0.05,8,gnnexplainer,-1,0.0060134828090667725,0.0060134828090667725
TCGA-A1-A0SP,development,11,0.05,8,random,0,0.024890780448913574,0.024890780448913574
TCGA-A1-A0SP,development,11,0.05,8,random,1,-0.009338825941085815,0.009338825941085815
TCGA-A1-A0SP,development,11,0.05,8,random,2,-0.00907289981842041,0.00907289981842041
TCGA-A1-A0SP,development,11,0.05,8,random,3,-0.001967012882232666,0.001967012882232666
TCGA-A1-A0SP,development,11,0.05,8,random,4,0.0012352466583251953,0.0012352466583251953
TCGA-A1-A0SP,development,11,0.05,8,random,5,-0.015254735946655273,0.015254735946655273
TCGA-A1-A0SP,development,11,0.05,8,random,6,0.01194089651107788,0.01194089651107788
TCGA-A1-A0SP,development,11,0.05,8,random,7,0.018550008535385132,0.018550008535385132
TCGA-A1-A0SP,development,11,0.05,8,random,8,0.007861703634262085,0.007861703634262085
TCGA-A1-A0SP,development,11,0.05,8,random,9,0.007864892482757568,0.007864892482757568
TCGA-A1-A0SP,development,11,0.05,8,random,10,0.014842480421066284,0.014842480421066284
TCGA-A1-A0SP,development,11,0.05,8,random,11,0.00861707329750061,0.00861707329750061
TCGA-A1-A0SP,development,11,0.05,8,random,12,-0.008120715618133545,0.008120715618133545
TCGA-A1-A0SP,development,11,0.05,8,random,13,-0.008316963911056519,0.008316963911056519
TCGA-A1-A0SP,development,11,0.05,8,random,14,-0.010616093873977661,0.010616093873977661
TCGA-A1-A0SP,development,11,0.05,8,random,15,0.019137471914291382,0.019137471914291382
TCGA-A1-A0SP,development,11,0.05,8,random,16,0.0013000071048736572,0.0013000071048736572
TCGA-A1-A0SP,development,11,0.05,8,random,17,0.005646556615829468,0.005646556615829468
TCGA-A1-A0SP,development,11,0.05,8,random,18,0.006778150796890259,0.006778150796890259
TCGA-A1-A0SP,development,11,0.05,8,random,19,0.013244330883026123,0.013244330883026123
TCGA-A1-A0SP,development,11,0.1,15,gnnexplainer,-1,0.014313280582427979,0.014313280582427979
TCGA-A1-A0SP,development,11,0.1,15,random,0,-0.0235612690448761,0.0235612690448761
TCGA-A1-A0SP,development,11,0.1,15,random,1,-0.004297465085983276,0.004297465085983276
TCGA-A1-A0SP,development,11,0.1,15,random,2,-0.008196651935577393,0.008196651935577393
TCGA-A1-A0SP,development,11,0.1,15,random,3,0.0006592869758605957,0.0006592869758605957
TCGA-A1-A0SP,development,11,0.1,15,random,4,-0.019596636295318604,0.019596636295318604
