patient,seed,fraction,method,repeat,predicted_class_drop
118,11,0.05,random,17,0.005528151988983154
118,11,0.05,random,18,-0.005448341369628906
118,11,0.05,random,19,0.02108597755432129
118,11,0.1,gnnexplainer,-1,0.15344101190567017
118,11,0.1,random,0,0.01564127206802368
118,11,0.1,random,1,0.023625314235687256
118,11,0.1,random,2,0.0412023663520813
118,11,0.1,random,3,0.011383056640625
118,11,0.1,random,4,0.05431175231933594
118,11,0.1,random,5,0.014432668685913086
118,11,0.1,random,6,0.03701573610305786
118,11,0.1,random,7,0.00707244873046875
118,11,0.1,random,8,0.021310508251190186
118,11,0.1,random,9,-0.007626533508300781
118,11,0.1,random,10,0.018997371196746826
118,11,0.1,random,11,0.026348352432250977
118,11,0.1,random,12,0.00831061601638794
118,11,0.1,random,13,0.040560245513916016
118,11,0.1,random,14,0.008539915084838867
118,11,0.1,random,15,0.015732228755950928
118,11,0.1,random,16,0.02557593584060669
118,11,0.1,random,17,0.0018131732940673828
118,11,0.1,random,18,0.003013789653778076
118,11,0.1,random,19,0.008404254913330078
118,11,0.2,gnnexplainer,-1,0.21898603439331055
118,11,0.2,random,0,0.04226785898208618
118,11,0.2,random,1,0.04479265213012695
118,11,0.2,random,2,0.03845500946044922
118,11,0.2,random,3,0.0022695064544677734
118,11,0.2,random,4,0.030069053173065186
118,11,0.2,random,5,0.04915875196456909
118,11,0.2,random,6,0.004065513610839844
118,11,0.2,random,7,0.04904365539550781
118,11,0.2,random,8,0.00891643762588501
118,11,0.2,random,9,0.02711254358291626
118,11,0.2,random,10,0.02461528778076172
118,11,0.2,random,11,0.013418972492218018
118,11,0.2,random,12,0.09905868768692017
118,11,0.2,random,13,0.023367464542388916
118,11,0.2,random,14,0.060065269470214844
118,11,0.2,random,15,0.10229271650314331
118,11,0.2,random,16,-0.002757251262664795
118,11,0.2,random,17,0.04082536697387695
118,11,0.2,random,18,0.07354742288589478
118,11,0.2,random,19,0.02396172285079956
118,23,0.05,gnnexplainer,-1,0.06897372007369995
118,23,0.05,random,0,0.014478921890258789
118,23,0.05,random,1,0.011164665222167969
118,23,0.05,random,2,0.032535552978515625
118,23,0.05,random,3,0.008689403533935547
118,23,0.05,random,4,0.01993662118911743
118,23,0.05,random,5,-0.0027160048484802246
118,23,0.05,random,6,0.004389822483062744
118,23,0.05,random,7,-0.001354992389678955
118,23,0.05,random,8,0.02884596586227417
118,23,0.05,random,9,-0.00570601224899292
118,23,0.05,random,10,0.00024813413619995117
118,23,0.05,random,11,0.019011318683624268
118,23,0.05,random,12,0.016606509685516357
118,23,0.05,random,13,-0.0035149455070495605
